Title	Description	Sentiment	Category
Taylor Swift Fan Dies at Rio de Janeiro Concert During Heat Wave	"The pop star stopped the show twice to ask the venue to hand out more water, at times taking it upon herself to throw bottles to fans"	3	Dead Fan
Taylor Swift Mourns Fan Who Died Before Rio Concert	"Taylor Swift has been on the international leg of The Eras Tour. On Friday night, she performed in Rio de Janeiro, Brazil at the Nilton Santos stadium. Many fans fell ill due to the heatwave, with a heat index of 140° Fahrenheit, and one concertgoer died of c…"	3	Dead Fan
Taylor Swift Mourns After Death of Her Fan at Brazil Concert	"Taylor Swift is grieving over the death of a concertgoer in Brazil ... saying the tragedy has left her devastated with a ""shattered heart."" The pop star took to Instagram and posted a heartfelt letter after her Friday night ""Eras Tour"" show at…"	3	Dead Fan
Taylor Swift ‘Devastated’ After Fan Dies Before Eras Tour Show in Brazil	"“I can’t believe I’m writing these words but it is with a shattered heart that I say we lost a fan earlier tonight before my show,” Swift wrote in a statement"	3	Dead Fan
"Taylor Swift fan dies at Rio concert as fans complain about high temps, lack of water..."	A 23 year-old Taylor Swift fan has died at the singer’s Eras Tour concert in Rio de Janeiro. The show’s organizers in Brazil said in a statement Saturday morning that Ana Clara Benevides Machado was attended by paramedics during the show and taken to a hospit…	3	Dead Fan
Taylor Swift “Shattered” By Loss Of Fan In Front Row Before Her Concert In Rio	"Taylor Swift has penned an emotional tribute to a young female fan, who died before her Eras show in Rio de Janeiro on Friday evening. On her Instagram account, the solo superstar wrote of her devastation about the loss of the 23-year-old woman – named as Ana…"	3	Dead Fan
Taylor Swift “Devastated” After Fan Dies at Her Brazil Concert	"Taylor Swift is mourning the death of a fan who died at her Eras tour concert in Rio de Janeiro. On Nov. 17, Ana Clara Benevides Machado was rushed to a hospital for treatment after falling ill..."	3	Dead Fan
Fan dies at Taylor Swift show in sweltering Rio de Janeiro	"A young Brazilian fan of U.S. singer Taylor Swift died in Rio de Janeiro on Friday night after falling ill inside the superstar's sweltering concert venue amid a record-breaking heatwave across large swathes of Brazil. Ana Clara Benevides, 23, became unwell a…"	3	Dead Fan
Taylor Swift Fan Dies of Cardiac Arrest After Attending Rio Eras Tour	"Buda Mendes/TAS23 Late Friday night, Taylor Swift made a devastating announcement via her Instagram story: a fan in attendance at the first date of her 3-night Eras Tour engagement in Rio de Janeiro, Brazil had passed away. “I can’t believe I’m writing these…"	3	Dead Fan
Taylor Swift Mourns Fan Who Died Before Brazil Concert	"""I can't believe I'm writing these words but it is with a shattered heart that I say we lost a fan earlier tonight before my show,"" Swift wrote in a handwritten statement Swift's show coincided with a heat wave in Brazil, with Folha reporting that the ""feels-…"	3	Dead Fan
Taylor Swift “Devastated” By Death of Fan at Concert in Rio de Janeiro	"A 23-year-old woman named went into cardiac arrest after attending Swift's ""Eras Tour"" show. Taylor Swift “Devastated” By Death of Fan at Concert in Rio de Janeiro Scoop Harrison"	3	Dead Fan
Fan at Taylor Swift concert dies amid Rio De Janeiro's record-breaking heat wave	A 23-year old student died at the Swift concert as the heat index reached a reported 140 degrees. Fans were not permitted to bring water into the stadium.	3	Dead Fan
Taylor Swift Mourns Fan Who Died Before Brazil Concert	"Taylor Swift has shared a statement mourning a fan who died during the Eras Tour’s stop in Rio de Janeiro, Brazil. The 23-year-old fan reportedly died in a hospital after fainting at the venue amid an extreme heat wave."	3	Dead Fan
“I Feel Overwhelmed by Grief”: Taylor Swift Gives Emotional Tribute to Fallen Fan	"Following the death of a 23-year-old woman during a concert in Brazil, the singer penned a heartfelt message on Instagram."	3	Dead Fan
"Taylor Swift Says A Fan Died Before Her Brazil Concert, Posts Heartfelt Message"	"Taylor Swift is honoring a Swiftie who sadly passed away before her concert. Following the completion of her first Eras Tour performance in Rio de Janeiro, Brazil on Friday (November 17), Taylor posted a message to her Instagram Story acknowledging that a fan…"	3	Dead Fan
Taylor Swift fan dies at Rio concert amid complaints about excessive heat	"Swift posted in her Instagram stories after news of the fan's death writing she has ""a shattered heart."""	3	Dead Fan
'Devastated': Taylor Swift Speaks Out On Fan Who Died Ahead Of Brazil Concert	The singer made the announcement after a Rio de Janeiro show amid a dangerous heat wave in Brazil this week.	3	Dead Fan
Taylor Swift Pens Emotional Message in Wake of Tragic Concert Goer’s Death	Taylor Swift is devastated. She reacts here to the awful and shocking death of a fan who attended a concert in Brazil. Taylor Swift Pens Emotional Message in Wake of Tragic Concert Goer’s Death was originally published on The Hollywood Gossip.	3	Dead Fan
Taylor Swift Releases Statement After Fan Tragically Dies Waiting for Brazil Show	"""I'm not going to be able to speak about this from stage because I feel overwhelmed by grief when I even try to talk about it."""	3	Dead Fan
Taylor Swift Fan Dies From Heat at The Eras Tour in Brazil	"Tonight at The Eras Tour in Brazil, Rio, before Taylor performed, a fan named Ana passed away from heatstroke. It was over 100 degrees and fans were not allowed to bring water into the stadium. Taylor's team passed out water and Taylor herself directed water …"	3	Dead Fan
‘Overwhelmed By Grief’: Taylor Swift Fan Dies Of Cardiac Arrest At Concert	A 23-year-old fan died of cardiac arrest Friday night while attending a Taylor Swift concert in Brazil.	3	Dead Fan
Taylor Swift Is 'Overwhelmed by Grief' After Brazilian Fan Died Pre-Concert	"Taylor Swift spoke out after one of her Brazilian fans died shortly before her Eras Tour concert. “I can’t believe I’m writing these words but it is with a shattered heart that I say we lost a fan earlier tonight before my show,” Swift, 33, wrote via Instagra…"	3	Dead Fan
Taylor Swift fan dies at Rio concert as fans complain about high temperatures and lack of water	"Concert-goers complained they were not allowed to take water into Nilton Santos Olympic Stadium despite soaring temperatures, and federal authorities announced that free water would be made available at all future concerts."	3	Dead Fan
Taylor Swift Mourns Fan Who Died Before Friday Night Brazil Concert: ‘I Feel Overwhelmed by Grief’	"""She was so incredibly beautiful and far too young,"" the singer says in a heartfelt message on Instagram  The post Taylor Swift Mourns Fan Who Died Before Friday Night Brazil Concert: ‘I Feel Overwhelmed by Grief’ appeared first on TheWrap."	3	Dead Fan
